gan,label,name,seed,snapshot
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_714620-lb_0--53274606.png,714620,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3164199-lb_0--16ea3d47.png,3164199,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3905610-lb_0--338613cf.png,3905610,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3662984-lb_0--89c7f64b.png,3662984,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9082643-lb_0--3c891c56.png,9082643,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4400676-lb_0--b199f1ed.png,4400676,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_766858-lb_0--105bb29c.png,766858,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5049501-lb_0--51eec197.png,5049501,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1396059-lb_0--b44600df.png,1396059,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_918405-lb_0--53bfadf2.png,918405,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9358048-lb_0--3c51bbd4.png,9358048,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3950354-lb_0--896201b6.png,3950354,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4310285-lb_0--d94a8a9b.png,4310285,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3931389-lb_0--89d6b840.png,3931389,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6337356-lb_0--70a24449.png,6337356,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8423802-lb_0--e3970836.png,8423802,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6503433-lb_0--178ec9ce.png,6503433,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7682210-lb_0--24f798fa.png,7682210,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4390046-lb_0--b53aaa81.png,4390046,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3247569-lb_0--6cbe1a38.png,3247569,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9489789-lb_0--922b1b57.png,9489789,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7006941-lb_0--c7580aa0.png,7006941,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7306272-lb_0--3894c647.png,7306272,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1832113-lb_0--b7475f80.png,1832113,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_721691-lb_0--0c970335.png,721691,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6398335-lb_0--4be05067.png,6398335,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3201544-lb_0--460da1fa.png,3201544,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1403343-lb_0--1ac736a0.png,1403343,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8396051-lb_0--e36512fd.png,8396051,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5930213-lb_0--3224b7e2.png,5930213,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2084106-lb_0--316a70f7.png,2084106,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5299936-lb_0--7092fd4a.png,5299936,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6096887-lb_0--fca59cb7.png,6096887,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2488549-lb_0--82aea3cb.png,2488549,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6415474-lb_0--4263aa9f.png,6415474,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6986757-lb_0--ffc431e9.png,6986757,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5203329-lb_0--12aff1a2.png,5203329,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6235815-lb_0--e5ab8aca.png,6235815,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9508660-lb_0--3d24e676.png,9508660,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1442675-lb_0--d3a9b23d.png,1442675,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6369431-lb_0--ec8f0e95.png,6369431,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5388349-lb_0--017723f1.png,5388349,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2052479-lb_0--247fe65d.png,2052479,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7091133-lb_0--9ef2dd1c.png,7091133,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8829711-lb_0--c2aff354.png,8829711,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4779980-lb_0--27eb2320.png,4779980,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9880213-lb_0--1e429d0e.png,9880213,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9928021-lb_0--3db44c0f.png,9928021,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7281528-lb_0--e3b737a0.png,7281528,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6323910-lb_0--07c48b93.png,6323910,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_892399-lb_0--aa4d47fb.png,892399,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_335531-lb_0--8549f8a6.png,335531,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9213054-lb_0--7c52fdee.png,9213054,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1874316-lb_0--8594f788.png,1874316,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4234145-lb_0--8bb54120.png,4234145,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1820096-lb_0--1f2988d7.png,1820096,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1758172-lb_0--88c07629.png,1758172,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5729494-lb_0--dd616ed9.png,5729494,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5516318-lb_0--d71a274d.png,5516318,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4027521-lb_0--07874c7a.png,4027521,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4673692-lb_0--c888f91d.png,4673692,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4412716-lb_0--fda5835f.png,4412716,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4651862-lb_0--3c565a89.png,4651862,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6475999-lb_0--16e4162c.png,6475999,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6690817-lb_0--18cf27b6.png,6690817,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4831207-lb_0--78db6676.png,4831207,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7261713-lb_0--e0ab9209.png,7261713,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_261381-lb_0--78aa00df.png,261381,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2008899-lb_0--5dd611f0.png,2008899,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6491174-lb_0--313f1cc5.png,6491174,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5919039-lb_0--e9d2bcd6.png,5919039,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3959607-lb_0--a5066069.png,3959607,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9898751-lb_0--486746ac.png,9898751,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1334514-lb_0--db085cd0.png,1334514,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2636173-lb_0--21b8ce1a.png,2636173,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9308739-lb_0--6b4c81af.png,9308739,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3368666-lb_0--da52e588.png,3368666,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1708397-lb_0--7d9bd5d6.png,1708397,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8783881-lb_0--43e4958a.png,8783881,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6705479-lb_0--51f6d6da.png,6705479,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5240040-lb_0--b56b35f3.png,5240040,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9986844-lb_0--a83c75d0.png,9986844,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5532394-lb_0--0718e644.png,5532394,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3477876-lb_0--482b34dd.png,3477876,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4615113-lb_0--9b5107e8.png,4615113,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1431568-lb_0--46d4432c.png,1431568,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_879419-lb_0--cdf9b848.png,879419,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2672690-lb_0--390b7e3c.png,2672690,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9899094-lb_0--b0259af4.png,9899094,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3884424-lb_0--21293f6b.png,3884424,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1734962-lb_0--da2f6470.png,1734962,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2906758-lb_0--42114d4d.png,2906758,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1968585-lb_0--03bb1220.png,1968585,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_300232-lb_0--1bb17501.png,300232,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5452837-lb_0--78e1a5c0.png,5452837,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4682861-lb_0--77dfe61a.png,4682861,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5028088-lb_0--3a00b199.png,5028088,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8057616-lb_0--954e1701.png,8057616,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3234951-lb_0--926391b3.png,3234951,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5228945-lb_0--c8e8e328.png,5228945,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4845965-lb_0--825b17f6.png,4845965,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_59995-lb_0--4c94f048.png,59995,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8723113-lb_0--b06126fd.png,8723113,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8339669-lb_0--9a831424.png,8339669,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_477006-lb_0--93030a9c.png,477006,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8172627-lb_0--39620402.png,8172627,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2187179-lb_0--78cf5554.png,2187179,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4020197-lb_0--bb424c7f.png,4020197,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8337796-lb_0--573d0108.png,8337796,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3383576-lb_0--2eb5a6d9.png,3383576,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9378107-lb_0--5198e744.png,9378107,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1922077-lb_0--55c60dd3.png,1922077,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3746008-lb_0--f7b553a6.png,3746008,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4451428-lb_0--ddc26ce2.png,4451428,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_623051-lb_0--8c77ba3a.png,623051,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7095404-lb_0--ccf565a8.png,7095404,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4930181-lb_0--47239265.png,4930181,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7129230-lb_0--33c777de.png,7129230,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6215220-lb_0--e7fa30d3.png,6215220,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5114900-lb_0--61d41d86.png,5114900,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7319015-lb_0--c4093fb1.png,7319015,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3482196-lb_0--c726be0f.png,3482196,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3571-lb_0--1d8216a5.png,3571,10000
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7346997-lb_0--2e615863.png,7346997,10000
