gan,label,name,seed,snapshot,type
stylegan,0,-seed_4695197-lb_0--8e04b02a.png,4695197,10526,stylegan
stylegan,0,-seed_147369-lb_0--c3d490ad.png,147369,10526,stylegan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7812020-lb_0--b3cfc937.png,7812020,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_7342677-lb_0--2a087ad0.png,7342677,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_6760873-lb_0--44934cf4.png,6760873,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_6223375-lb_0--ad3a0f3a.png,6223375,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_450224-lb_0--77e4549e.png,450224,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_340580-lb_0--e89763ad.png,340580,10000,pggan
stylegan,0,-seed_8796211-lb_0--dff91371.png,8796211,10526,stylegan
stylegan,0,-seed_947587-lb_0--d0f421ef.png,947587,10526,stylegan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_5880561-lb_0--494ab042.png,5880561,7204,pggan
stylegan,0,-seed_4499859-lb_0--40df6a2a.png,4499859,10526,stylegan
stylegan,0,-seed_6310280-lb_0--13e87051.png,6310280,10526,stylegan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_2822962-lb_0--98ce8378.png,2822962,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_3923755-lb_0--70a95e59.png,3923755,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4904054-lb_0--0f2c8843.png,4904054,10000,pggan
stylegan,0,-seed_2746280-lb_0--45fddf76.png,2746280,10526,stylegan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9864092-lb_0--9c9e117e.png,9864092,10000,pggan
stylegan,0,-seed_5161242-lb_0--c5e387e5.png,5161242,10526,stylegan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1559305-lb_0--9a143cd6.png,1559305,10000,pggan
stylegan,0,-seed_984706-lb_0--929ea501.png,984706,10526,stylegan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4191539-lb_0--43ab5c76.png,4191539,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_4249294-lb_0--d1a77e70.png,4249294,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_7505692-lb_0--940f7a19.png,7505692,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1661031-lb_0--7b5bc075.png,1661031,10000,pggan
stylegan,0,-seed_6433908-lb_0--137b5666.png,6433908,10526,stylegan
stylegan,0,-seed_4456569-lb_0--32785b88.png,4456569,10526,stylegan
stylegan,0,-seed_721331-lb_0--626d6fb7.png,721331,10526,stylegan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_7675200-lb_0--bea564ba.png,7675200,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_268430-lb_0--86a798b9.png,268430,10000,pggan
stylegan,0,-seed_6329680-lb_0--221c8531.png,6329680,10526,stylegan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4778166-lb_0--00dd6b32.png,4778166,10000,pggan
stylegan,0,-seed_2521707-lb_0--5619869e.png,2521707,10526,stylegan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_5441446-lb_0--2170a64c.png,5441446,7204,pggan
stylegan,0,-seed_8658378-lb_0--4a219236.png,8658378,10526,stylegan
stylegan,0,-seed_16711-lb_0--10a68dad.png,16711,10526,stylegan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_6293238-lb_0--1711e407.png,6293238,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1633044-lb_0--271d09c8.png,1633044,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_9288955-lb_0--3b659fd9.png,9288955,7204,pggan
stylegan,0,-seed_7951444-lb_0--fa358323.png,7951444,10526,stylegan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_6549991-lb_0--15320601.png,6549991,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_5776930-lb_0--9c94042d.png,5776930,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5523809-lb_0--7b657355.png,5523809,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_5423917-lb_0--2169c5aa.png,5423917,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_5919755-lb_0--8e0a4b7c.png,5919755,10512,pggan
stylegan,0,-seed_2777387-lb_0--0df964c2.png,2777387,10526,stylegan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_8407752-lb_0--3375ff3a.png,8407752,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_8067723-lb_0--59b57c90.png,8067723,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_1507473-lb_0--e9e9e001.png,1507473,7204,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_6594291-lb_0--c8e002ea.png,6594291,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3575103-lb_0--687d3b26.png,3575103,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_9854294-lb_0--45ad3ae2.png,9854294,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1285813-lb_0--7fbc0fb2.png,1285813,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_7106042-lb_0--a369d50f.png,7106042,7204,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_1704488-lb_0--e2647ae4.png,1704488,7204,pggan
stylegan,0,-seed_4997000-lb_0--0937a9c8.png,4997000,10526,stylegan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_2852570-lb_0--a15fad46.png,2852570,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5942143-lb_0--b02c0fcc.png,5942143,10000,pggan
stylegan,0,-seed_5276250-lb_0--07effe83.png,5276250,10526,stylegan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_607598-lb_0--b27f4f99.png,607598,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_4473198-lb_0--086aa3e2.png,4473198,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_4952530-lb_0--ce58b48b.png,4952530,7204,pggan
stylegan,0,-seed_4983768-lb_0--2af7e8b4.png,4983768,10526,stylegan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_356092-lb_0--1b0dbab9.png,356092,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_4495051-lb_0--8b528a1f.png,4495051,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_6188567-lb_0--4ea0fe77.png,6188567,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_7295933-lb_0--20b56c1a.png,7295933,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_3329254-lb_0--05c97bb5.png,3329254,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_825927-lb_0--1f71fdd5.png,825927,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_1458903-lb_0--8c40cc3f.png,1458903,7204,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_7584855-lb_0--a9aebe46.png,7584855,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2205984-lb_0--4d1424a9.png,2205984,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_4004132-lb_0--c4892c2e.png,4004132,7204,pggan
stylegan,0,-seed_8858108-lb_0--c5679137.png,8858108,10526,stylegan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_7610041-lb_0--76e126d2.png,7610041,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_7299049-lb_0--011d20c2.png,7299049,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_6678820-lb_0--b86ebab0.png,6678820,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4445528-lb_0--ef8c3f47.png,4445528,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_6737669-lb_0--c95519be.png,6737669,7204,pggan
stylegan,0,-seed_8676287-lb_0--e8365e26.png,8676287,10526,stylegan
stylegan,0,-seed_313787-lb_0--8a6cf4f6.png,313787,10526,stylegan
stylegan,0,-seed_1356923-lb_0--3b72ad02.png,1356923,10526,stylegan
stylegan,0,-seed_4317701-lb_0--0f74db6d.png,4317701,10526,stylegan
stylegan,0,-seed_5824241-lb_0--492a05fa.png,5824241,10526,stylegan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_9674574-lb_0--9b166bea.png,9674574,7204,pggan
stylegan,0,-seed_8699286-lb_0--c5ed2b74.png,8699286,10526,stylegan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_5277441-lb_0--d9f31f37.png,5277441,10512,pggan
stylegan,0,-seed_4507974-lb_0--1298a1f5.png,4507974,10526,stylegan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_668096-lb_0--42a5efe5.png,668096,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4164971-lb_0--b6abf821.png,4164971,10000,pggan
stylegan,0,-seed_8599181-lb_0--843bec36.png,8599181,10526,stylegan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_1679576-lb_0--339d2f55.png,1679576,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_7681910-lb_0--3456cd3e.png,7681910,7204,pggan
stylegan,0,-seed_9261486-lb_0--a10c69ee.png,9261486,10526,stylegan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_267474-lb_0--b3bf69ba.png,267474,10512,pggan
stylegan,0,-seed_5628273-lb_0--aa4cb8d1.png,5628273,10526,stylegan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_2588080-lb_0--4fbbdaf7.png,2588080,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2775500-lb_0--6e2a324d.png,2775500,10000,pggan
stylegan,0,-seed_3090661-lb_0--a54b5468.png,3090661,10526,stylegan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_2270810-lb_0--50fefd67.png,2270810,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_3489637-lb_0--2c9c9dc4.png,3489637,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_5651185-lb_0--a53116b9.png,5651185,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_5237891-lb_0--16da24f2.png,5237891,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_459698-lb_0--0999a8a7.png,459698,7204,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_6851504-lb_0--514db3df.png,6851504,7204,pggan
stylegan,0,-seed_3431118-lb_0--86b9c0fa.png,3431118,10526,stylegan
stylegan,0,-seed_5372140-lb_0--1877d825.png,5372140,10526,stylegan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_60577-lb_0--63cf4e49.png,60577,10000,pggan
stylegan,0,-seed_6770458-lb_0--45734fc2.png,6770458,10526,stylegan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3748216-lb_0--e7a58ece.png,3748216,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2822216-lb_0--fa5f8583.png,2822216,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_3329177-lb_0--96a04b9e.png,3329177,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_9272943-lb_0--6616293b.png,9272943,10512,pggan
stylegan,0,-seed_7733720-lb_0--deab86d8.png,7733720,10526,stylegan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_3809865-lb_0--40c194a1.png,3809865,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_3665618-lb_0--847214eb.png,3665618,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_4511504-lb_0--01728d66.png,4511504,10512,pggan
stylegan,0,-seed_6408030-lb_0--cb310bd2.png,6408030,10526,stylegan
stylegan,0,-seed_9820724-lb_0--7f0eebb9.png,9820724,10526,stylegan
stylegan,0,-seed_4570464-lb_0--44bd477f.png,4570464,10526,stylegan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_597542-lb_0--d2bffcca.png,597542,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7966157-lb_0--a2c61b6e.png,7966157,10000,pggan
stylegan,0,-seed_6115041-lb_0--f61ca3d9.png,6115041,10526,stylegan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1249364-lb_0--f598199d.png,1249364,10000,pggan
