gan,label,name,seed,snapshot,type
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7558920-lb_0--5d42d41a.png,7558920,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_6474710-lb_0--7c94bf70.png,6474710,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3826551-lb_0--b94ad9c1.png,3826551,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4345684-lb_0--1ee90c17.png,4345684,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_5098608-lb_0--9c5a2fef.png,5098608,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2558541-lb_0--7c73ee54.png,2558541,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7290889-lb_0--6143430e.png,7290889,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_545312-lb_0--a9387f7a.png,545312,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1160337-lb_0--3a4a69de.png,1160337,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_8961551-lb_0--6d27fbed.png,8961551,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_7432460-lb_0--49b2da9d.png,7432460,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7691408-lb_0--20ac110c.png,7691408,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1410518-lb_0--f0b9b83d.png,1410518,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5303587-lb_0--f85c309a.png,5303587,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8904949-lb_0--d19d8390.png,8904949,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_3380451-lb_0--85818584.png,3380451,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9998867-lb_0--cf47f6e0.png,9998867,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_549379-lb_0--d462cf42.png,549379,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_3317552-lb_0--c912bcbc.png,3317552,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_831239-lb_0--f51c0e68.png,831239,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7102150-lb_0--f788ae7f.png,7102150,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_7503234-lb_0--4871c961.png,7503234,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9136191-lb_0--ccb2d188.png,9136191,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_8857101-lb_0--44d32227.png,8857101,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_4703549-lb_0--5ace2f64.png,4703549,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_45448-lb_0--608eb926.png,45448,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_2290251-lb_0--bb26b927.png,2290251,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_2044902-lb_0--5b36a19e.png,2044902,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7190671-lb_0--3040c235.png,7190671,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_8445058-lb_0--02623a30.png,8445058,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1117351-lb_0--f0ad8f65.png,1117351,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8687671-lb_0--9a738376.png,8687671,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_8927025-lb_0--3646c52c.png,8927025,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_1963850-lb_0--119bd92c.png,1963850,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_6094705-lb_0--e281f0dc.png,6094705,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_783713-lb_0--1d1f1561.png,783713,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_491992-lb_0--015cf60a.png,491992,7204,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_8150779-lb_0--f62999b4.png,8150779,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_3649033-lb_0--e993ab3a.png,3649033,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4529615-lb_0--6cdd0812.png,4529615,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_7152506-lb_0--0f1d7b0f.png,7152506,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1721278-lb_0--55933bf2.png,1721278,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_2627291-lb_0--2e9b53fd.png,2627291,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2623624-lb_0--3de3294e.png,2623624,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_1997370-lb_0--cb2556d3.png,1997370,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4027972-lb_0--1c1f45cb.png,4027972,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_7236180-lb_0--773855a0.png,7236180,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_2901522-lb_0--fca0d379.png,2901522,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_4692026-lb_0--63b93727.png,4692026,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_3941565-lb_0--9ae4d102.png,3941565,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_881691-lb_0--67cb5f4e.png,881691,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_7256218-lb_0--87972d64.png,7256218,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_220587-lb_0--0932f0c5.png,220587,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_8208569-lb_0--7cbc52fe.png,8208569,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1993464-lb_0--ed1f25de.png,1993464,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2594391-lb_0--b472de37.png,2594391,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_4732136-lb_0--19ab3e3c.png,4732136,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4885986-lb_0--e2eeb5d7.png,4885986,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_4532047-lb_0--892abd82.png,4532047,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_6870762-lb_0--d535f850.png,6870762,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_4498082-lb_0--411d62bf.png,4498082,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7982329-lb_0--97e6f3aa.png,7982329,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_5064949-lb_0--f552a206.png,5064949,7204,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_3368601-lb_0--3fdbe473.png,3368601,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_5158073-lb_0--613e511c.png,5158073,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7431747-lb_0--fa9c9745.png,7431747,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_8144764-lb_0--ee0d3b56.png,8144764,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9229992-lb_0--50790838.png,9229992,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8162930-lb_0--ea1b6046.png,8162930,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_5964437-lb_0--a689f32b.png,5964437,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8415917-lb_0--fb1399cc.png,8415917,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_1372347-lb_0--e5d49607.png,1372347,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_1228665-lb_0--9a7333d5.png,1228665,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_3284309-lb_0--dcefc2cb.png,3284309,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5501472-lb_0--9738ff59.png,5501472,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1684580-lb_0--33b14975.png,1684580,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_6515133-lb_0--b472d45a.png,6515133,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_9056391-lb_0--72f0b264.png,9056391,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_3980700-lb_0--e6e4fdf8.png,3980700,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_3283085-lb_0--9375ccdf.png,3283085,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_5966896-lb_0--1d6974cf.png,5966896,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_6566557-lb_0--0ad3410c.png,6566557,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_1415758-lb_0--83e444a4.png,1415758,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_2367494-lb_0--b4b8b6ab.png,2367494,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_4771403-lb_0--57692209.png,4771403,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_2858849-lb_0--749713f3.png,2858849,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_7186952-lb_0--8f7a7de3.png,7186952,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_5112609-lb_0--fb486ed5.png,5112609,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_8311896-lb_0--67cb9c96.png,8311896,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_8192580-lb_0--e3d2f4d6.png,8192580,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_7714573-lb_0--b33b8dfb.png,7714573,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_7047604-lb_0--0e9148f7.png,7047604,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_224593-lb_0--65a1bbf4.png,224593,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9141899-lb_0--33467482.png,9141899,10000,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_3919700-lb_0--c4430d32.png,3919700,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_1657486-lb_0--40a22069.png,1657486,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_581556-lb_0--79f0b48e.png,581556,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9110794-lb_0--3aa0ee5a.png,9110794,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2941071-lb_0--08ded0e5.png,2941071,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_3956287-lb_0--26196e59.png,3956287,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_7287501-lb_0--1736a196.png,7287501,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_4750764-lb_0--60e8d06c.png,4750764,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_1090493-lb_0--9dcfef01.png,1090493,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_1500505-lb_0--4ddb4253.png,1500505,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8070677-lb_0--10ee7e71.png,8070677,10000,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_2511722-lb_0--d8727b5b.png,2511722,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_6154125-lb_0--43af36f1.png,6154125,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_6125138-lb_0--ece11072.png,6125138,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_9304199-lb_0--3932eec4.png,9304199,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_2072088-lb_0--716ba845.png,2072088,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_371179-lb_0--e2d554d7.png,371179,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_8290997-lb_0--089f56e4.png,8290997,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_7069461-lb_0--6b4ee106.png,7069461,7204,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_938541-lb_0--e233766b.png,938541,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_1501011-lb_0--3f58736a.png,1501011,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_824834-lb_0--8e8ab5ae.png,824834,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_3495830-lb_0--a4e41091.png,3495830,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_3922365-lb_0--f64b1d59.png,3922365,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_6998324-lb_0--a9fa0afc.png,6998324,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_5050579-lb_0--6c52b347.png,5050579,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_2042403-lb_0--2472b4ec.png,2042403,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_3231772-lb_0--7e366687.png,3231772,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_8576015-lb_0--e8420465.png,8576015,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_5429620-lb_0--eca73d8c.png,5429620,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_4163882-lb_0--2858044c.png,4163882,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_2596258-lb_0--826cfbf5.png,2596258,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_999995-lb_0--4445a651.png,999995,10512,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_6612521-lb_0--3796650c.png,6612521,10512,pggan
007-pgan-p3_512x512_0,0,007-pgan-p3_512x512-seed_5067577-lb_0--e8bb0ca1.png,5067577,10000,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_2859845-lb_0--025e0f2f.png,2859845,10512,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_846289-lb_0--15b97a6e.png,846289,7204,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_6276959-lb_0--963e1903.png,6276959,7204,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_8353511-lb_0--0f9ff6fc.png,8353511,7204,pggan
006-pgan-p3_512x512_0,0,006-pgan-p3_512x512-seed_59688-lb_0--0cf02659.png,59688,7204,pggan
009-pgan-p3_512x512_0,0,009-pgan-p3_512x512-seed_4084620-lb_0--9cb073ee.png,4084620,10512,pggan
