gan,name,seed,snapshot
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_897926-lb_x--bdab7c2b.png,897926,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_3315033-lb_x--7ed784f3.png,3315033,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_427843-lb_x--bd21b18d.png,427843,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_7316689-lb_x--935e84e7.png,7316689,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_9340490-lb_x--2d5c5688.png,9340490,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_5919677-lb_x--41019bdb.png,5919677,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_40301-lb_x--b67de0b5.png,40301,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_9937967-lb_x--1c9659be.png,9937967,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_9922656-lb_x--4624d2d1.png,9922656,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_6045664-lb_x--a3359d0c.png,6045664,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_5864176-lb_x--39c8b4d1.png,5864176,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_5932423-lb_x--1003cae6.png,5932423,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_2876361-lb_x--94363aa6.png,2876361,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_7832319-lb_x--b242e03a.png,7832319,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_7922114-lb_x--ae8428fa.png,7922114,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_5662455-lb_x--68abc7b8.png,5662455,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_6925771-lb_x--dd5870a3.png,6925771,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_1065756-lb_x--defc9c75.png,1065756,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_5973533-lb_x--ef0348dc.png,5973533,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_9898980-lb_x--342208f7.png,9898980,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_7505853-lb_x--98d70a77.png,7505853,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_5137093-lb_x--45e4ba12.png,5137093,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_3426078-lb_x--afdacb24.png,3426078,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_4909265-lb_x--eb41806a.png,4909265,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_1720718-lb_x--ea873aa7.png,1720718,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_4109996-lb_x--523a0707.png,4109996,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_7407305-lb_x--84e394d7.png,7407305,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_2854823-lb_x--4e049b22.png,2854823,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_6337829-lb_x--df5c1acf.png,6337829,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_5470643-lb_x--625a6cf4.png,5470643,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_6789524-lb_x--75ef5af5.png,6789524,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_7034907-lb_x--44228ce1.png,7034907,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_3084568-lb_x--a7eb8d74.png,3084568,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_2272827-lb_x--4d0adefe.png,2272827,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_3829122-lb_x--57077ba8.png,3829122,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_6492830-lb_x--6c381723.png,6492830,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_595081-lb_x--b038ee82.png,595081,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_2690654-lb_x--70c6dddf.png,2690654,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_2608614-lb_x--33bef8ab.png,2608614,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_2996122-lb_x--ad3458d2.png,2996122,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_7070322-lb_x--ea2ca70e.png,7070322,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_204822-lb_x--68b3a9be.png,204822,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_6357084-lb_x--a9f01b17.png,6357084,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_6224191-lb_x--59a2baaa.png,6224191,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_835805-lb_x--a7aa6750.png,835805,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_485103-lb_x--7d9f19c8.png,485103,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_6815358-lb_x--66be1143.png,6815358,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_5349799-lb_x--72666fc2.png,5349799,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_977464-lb_x--e34bb2fa.png,977464,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_5388609-lb_x--699474fc.png,5388609,10007
011-pgan-rsna_all_256x256,011-pgan-rsna_all_256x256-seed_2530936-lb_x--8a6342cb.png,2530936,10007
