image_id,label_gan,type
seed_1523053-lb_1--02578a5c.png,0,gan
seed_3959490-lb_1--af2aaa42.png,0,gan
seed_41955-lb_1--11562a0b.png,0,gan
seed_6453545-lb_1--c3be7f5c.png,0,gan
seed_6415585-lb_1--f4fbae57.png,0,gan
ISIC_0029849,1,real
seed_7385301-lb_1--9a9308a4.png,0,gan
seed_3195798-lb_1--cbb5cd12.png,0,gan
seed_5874161-lb_1--e9c24293.png,0,gan
seed_5565629-lb_1--db483af7.png,0,gan
ISIC_0030325,1,real
ISIC_0033834,1,real
seed_9582981-lb_1--4bd86a9b.png,0,gan
seed_698697-lb_1--7d0ce323.png,0,gan
seed_6717446-lb_1--5b2a4dbb.png,0,gan
seed_5139748-lb_1--da82e6bb.png,0,gan
seed_8288800-lb_1--eca48a47.png,0,gan
ISIC_0029645,1,real
seed_1221920-lb_1--3fe28693.png,0,gan
seed_2492104-lb_1--433ab8a1.png,0,gan
ISIC_0025871,1,real
seed_8761796-lb_1--3d8307c0.png,0,gan
seed_1913146-lb_1--ad82840f.png,0,gan
seed_4051580-lb_1--7db0cfb4.png,0,gan
seed_8567157-lb_1--fbe28438.png,0,gan
seed_4038279-lb_1--7f6d307c.png,0,gan
seed_2540370-lb_1--a52c8f2e.png,0,gan
seed_6261775-lb_1--f754ccf8.png,0,gan
seed_9389963-lb_1--f3b5310d.png,0,gan
seed_1174933-lb_1--30deb8f9.png,0,gan
ISIC_0034128,1,real
seed_1179454-lb_1--5386b70d.png,0,gan
seed_2833750-lb_1--54f3bbef.png,0,gan
ISIC_0034169,1,real
seed_3840562-lb_1--1c4a3463.png,0,gan
seed_5930786-lb_1--07ec9801.png,0,gan
seed_5916060-lb_1--3b7d18de.png,0,gan
seed_838932-lb_1--3fab03c0.png,0,gan
seed_8728587-lb_1--877d459e.png,0,gan
seed_2775689-lb_1--1b4de045.png,0,gan
seed_2651706-lb_1--ba45dd47.png,0,gan
ISIC_0029213,1,real
seed_9319738-lb_1--769ae0d7.png,0,gan
seed_7095400-lb_1--9693cd9e.png,0,gan
seed_8297582-lb_1--ea41f9bf.png,0,gan
ISIC_0028678,1,real
seed_277921-lb_1--453c2b7c.png,0,gan
seed_5790449-lb_1--266b41c4.png,0,gan
seed_5187828-lb_1--19be13ac.png,0,gan
seed_1911641-lb_1--3e5e527a.png,0,gan
seed_7357091-lb_1--9c97c7c4.png,0,gan
seed_2652700-lb_1--4909e976.png,0,gan
ISIC_0026158,1,real
seed_5549707-lb_1--af43e8d8.png,0,gan
seed_5925734-lb_1--02c1cc05.png,0,gan
seed_2136600-lb_1--dcc53fb2.png,0,gan
seed_1872567-lb_1--993193e4.png,0,gan
seed_9354222-lb_1--ccb9b456.png,0,gan
seed_6327044-lb_1--7349ddbf.png,0,gan
seed_3950198-lb_1--7bc1ed7e.png,0,gan
seed_2076307-lb_1--6ef0e53b.png,0,gan
seed_4448175-lb_1--aeec4668.png,0,gan
seed_4068109-lb_1--c1e9f349.png,0,gan
ISIC_0031713,1,real
seed_719857-lb_1--ac2193c2.png,0,gan
seed_4879003-lb_1--4715dfdd.png,0,gan
seed_3294344-lb_1--a15775ba.png,0,gan
ISIC_0025597,1,real
seed_5418748-lb_1--48b106aa.png,0,gan
seed_7270446-lb_1--7951bf71.png,0,gan
seed_4930006-lb_1--9dcd1293.png,0,gan
seed_8157473-lb_1--51013ff9.png,0,gan
seed_8945109-lb_1--96e40820.png,0,gan
seed_6687939-lb_1--f1a341fe.png,0,gan
seed_9232395-lb_1--5ab3adeb.png,0,gan
seed_2114531-lb_1--cc0e93db.png,0,gan
seed_3835851-lb_1--516d72c3.png,0,gan
seed_3757955-lb_1--babe38c2.png,0,gan
seed_2664265-lb_1--d0c55f1e.png,0,gan
ISIC_0032064,1,real
seed_790197-lb_1--e70ac8dd.png,0,gan
ISIC_0032671,1,real
seed_7839234-lb_1--ad7e091d.png,0,gan
seed_6863700-lb_1--fa625599.png,0,gan
seed_2235919-lb_1--029f1ba8.png,0,gan
seed_6988479-lb_1--ace43b37.png,0,gan
seed_7801524-lb_1--7513fd2e.png,0,gan
seed_1043659-lb_1--fa662a08.png,0,gan
seed_2500993-lb_1--552653cf.png,0,gan
seed_7574175-lb_1--d8efb2bf.png,0,gan
seed_1441682-lb_1--2dede97c.png,0,gan
seed_2759779-lb_1--a90b0b23.png,0,gan
seed_7997938-lb_1--a045132a.png,0,gan
ISIC_0034315,1,real
seed_5554526-lb_1--e09771fb.png,0,gan
seed_1739579-lb_1--0314c849.png,0,gan
seed_7373051-lb_1--b92cf86b.png,0,gan
seed_7637021-lb_1--7e23b462.png,0,gan
seed_4147369-lb_1--64e91e8f.png,0,gan
seed_9677143-lb_1--eb86b0c3.png,0,gan
ISIC_0032079,1,real
seed_3765241-lb_1--0fd47345.png,0,gan
ISIC_0034281,1,real
ISIC_0032102,1,real
seed_4532696-lb_1--b5a4a3df.png,0,gan
seed_8167261-lb_1--dd8c18d6.png,0,gan
ISIC_0024958,1,real
seed_454074-lb_1--8c826e4c.png,0,gan
seed_6955493-lb_1--5c8ba4f4.png,0,gan
seed_4144364-lb_1--4cb7fc74.png,0,gan
seed_5512875-lb_1--22006a36.png,0,gan
seed_3840339-lb_1--2f7b819c.png,0,gan
seed_50309-lb_1--e6acca0f.png,0,gan
seed_2382466-lb_1--2bad372c.png,0,gan
seed_8624820-lb_1--683e4a9e.png,0,gan
seed_7287681-lb_1--f4a6aa6a.png,0,gan
seed_1121873-lb_1--dbd39f0d.png,0,gan
seed_5706581-lb_1--85360bee.png,0,gan
seed_2580661-lb_1--202fe1b6.png,0,gan
ISIC_0028619,1,real
seed_2811513-lb_1--2d6cf6bd.png,0,gan
seed_3883400-lb_1--3d85c532.png,0,gan
seed_340860-lb_1--663c3292.png,0,gan
seed_6674281-lb_1--ef80407a.png,0,gan
seed_2561694-lb_1--6038687d.png,0,gan
ISIC_0031704,1,real
seed_1840909-lb_1--ef20395e.png,0,gan
seed_7519255-lb_1--04c15753.png,0,gan
seed_763109-lb_1--f0b33782.png,0,gan
seed_268029-lb_1--03d75401.png,0,gan
seed_973039-lb_1--90c715bb.png,0,gan
seed_4020913-lb_1--04e1f051.png,0,gan
ISIC_0029112,1,real
seed_3598945-lb_1--49a5c63e.png,0,gan
seed_6104820-lb_1--7500ba9d.png,0,gan
seed_2360119-lb_1--7ef86500.png,0,gan
seed_5510014-lb_1--b9e93d71.png,0,gan
seed_6437495-lb_1--284c111e.png,0,gan
seed_4683484-lb_1--c26e0d43.png,0,gan
seed_357599-lb_1--fec040fd.png,0,gan
ISIC_0026618,1,real
ISIC_0026322,1,real
seed_8437684-lb_1--a39b7020.png,0,gan
seed_9222140-lb_1--56a4c9d8.png,0,gan
seed_5394679-lb_1--bfde1c10.png,0,gan
seed_3610868-lb_1--81e804d9.png,0,gan
seed_3436047-lb_1--5c07c54c.png,0,gan
seed_7758014-lb_1--bc5f7d6c.png,0,gan
seed_8338747-lb_1--39cec965.png,0,gan
seed_9691461-lb_1--3a6f04bc.png,0,gan
seed_6766949-lb_1--367aa591.png,0,gan
seed_4356749-lb_1--64eef8f0.png,0,gan
seed_7737686-lb_1--0b26041c.png,0,gan
seed_5790533-lb_1--701de0e0.png,0,gan
seed_2053886-lb_1--dbcf1359.png,0,gan
ISIC_0025622,1,real
seed_5363363-lb_1--71cdd0f3.png,0,gan
seed_5684340-lb_1--95bca49d.png,0,gan
seed_3116747-lb_1--f3e4072c.png,0,gan
seed_1810709-lb_1--419696c4.png,0,gan
seed_259206-lb_1--6847be94.png,0,gan
seed_3529974-lb_1--aa8b1181.png,0,gan
seed_8323396-lb_1--be3bb739.png,0,gan
seed_7324373-lb_1--c890c288.png,0,gan
seed_4445730-lb_1--2ea31148.png,0,gan
seed_6536663-lb_1--239c9018.png,0,gan
seed_4279274-lb_1--8e6e0144.png,0,gan
seed_529276-lb_1--897cb7b6.png,0,gan
seed_3335721-lb_1--1e2e2b75.png,0,gan
seed_2082508-lb_1--60e3994e.png,0,gan
seed_9280009-lb_1--d59e65b8.png,0,gan
seed_1500627-lb_1--7266014e.png,0,gan
seed_8182587-lb_1--8304890e.png,0,gan
ISIC_0028767,1,real
ISIC_0025949,1,real
seed_4922250-lb_1--234530b9.png,0,gan
ISIC_0024545,1,real
seed_6314289-lb_1--f531562c.png,0,gan
ISIC_0025408,1,real
seed_1332611-lb_1--efa6ea35.png,0,gan
seed_8834551-lb_1--350169da.png,0,gan
seed_9257156-lb_1--2b7ddff0.png,0,gan
ISIC_0028863,1,real
seed_1068105-lb_1--960ca69d.png,0,gan
seed_7884513-lb_1--ce217c19.png,0,gan
seed_1432856-lb_1--5ea466da.png,0,gan
seed_9605306-lb_1--e10c8ce2.png,0,gan
seed_5450110-lb_1--cb4610f5.png,0,gan
seed_2542524-lb_1--075d01f8.png,0,gan
seed_3165451-lb_1--f20d05a9.png,0,gan
seed_7353956-lb_1--f6b5304f.png,0,gan
seed_9878363-lb_1--e5a5c6fc.png,0,gan
seed_542695-lb_1--8bd30bff.png,0,gan
seed_390645-lb_1--8ae716e9.png,0,gan
seed_855243-lb_1--1e35d409.png,0,gan
ISIC_0032590,1,real
seed_8127131-lb_1--c6014375.png,0,gan
seed_4468768-lb_1--060cbfa1.png,0,gan
seed_3774147-lb_1--c5268e2c.png,0,gan
seed_6519930-lb_1--8eb7bbff.png,0,gan
seed_7144049-lb_1--dc6a70de.png,0,gan
seed_4665145-lb_1--098d80ba.png,0,gan
seed_8162146-lb_1--30b52f73.png,0,gan
seed_9469122-lb_1--c25d92a3.png,0,gan
seed_573335-lb_1--0a5372eb.png,0,gan
seed_170892-lb_1--70f04247.png,0,gan
seed_5184844-lb_1--9121ef6a.png,0,gan
seed_694375-lb_1--03938683.png,0,gan
seed_7296332-lb_1--0fa726d5.png,0,gan
seed_5481076-lb_1--bc238a22.png,0,gan
ISIC_0031046,1,real
seed_8210905-lb_1--07c220d2.png,0,gan
seed_8158099-lb_1--168d8abe.png,0,gan
seed_6200729-lb_1--85caf3e1.png,0,gan
seed_8599268-lb_1--1cec16e8.png,0,gan
seed_3027620-lb_1--ad32a6d9.png,0,gan
seed_6551059-lb_1--69a5161b.png,0,gan
seed_2800333-lb_1--645caaa6.png,0,gan
ISIC_0026817,1,real
seed_2430995-lb_1--092038e7.png,0,gan
seed_1904376-lb_1--53a6064a.png,0,gan
seed_7495719-lb_1--5749e144.png,0,gan
seed_1955156-lb_1--40a552b5.png,0,gan
seed_9884943-lb_1--52d37f56.png,0,gan
ISIC_0032141,1,real
seed_6426795-lb_1--266c401c.png,0,gan
seed_9102982-lb_1--5f5764c1.png,0,gan
seed_4224800-lb_1--be827154.png,0,gan
ISIC_0026121,1,real
seed_7958352-lb_1--620d575e.png,0,gan
seed_316497-lb_1--4a13df5f.png,0,gan
seed_5828206-lb_1--35ec959b.png,0,gan
seed_7403120-lb_1--eb27d0db.png,0,gan
seed_2589188-lb_1--024d0132.png,0,gan
seed_3192552-lb_1--25900c54.png,0,gan
seed_4426462-lb_1--5b3c60e1.png,0,gan
seed_2393768-lb_1--a7104362.png,0,gan
seed_8930474-lb_1--c806dc7e.png,0,gan
seed_6726084-lb_1--d97c185c.png,0,gan
seed_4084280-lb_1--492b5499.png,0,gan
ISIC_0031082,1,real
ISIC_0024926,1,real
seed_1386425-lb_1--ed84635f.png,0,gan
seed_6445387-lb_1--298b3d34.png,0,gan
seed_9656147-lb_1--88f499b8.png,0,gan
seed_5788798-lb_1--2f8e5de4.png,0,gan
seed_418461-lb_1--96a7d594.png,0,gan
ISIC_0028480,1,real
seed_6921072-lb_1--aa49702d.png,0,gan
seed_1024891-lb_1--1f84ee74.png,0,gan
seed_4396809-lb_1--5e23df42.png,0,gan
seed_550125-lb_1--14a7c4d4.png,0,gan
seed_9198784-lb_1--4d5eb932.png,0,gan
ISIC_0033218,1,real
seed_2709275-lb_1--a7ea0fc0.png,0,gan
seed_9518411-lb_1--769bd101.png,0,gan
seed_6112423-lb_1--9190b3ff.png,0,gan
seed_7654484-lb_1--59239253.png,0,gan
seed_5008180-lb_1--ae2a7132.png,0,gan
ISIC_0027610,1,real
seed_1679637-lb_1--33de3fc0.png,0,gan
seed_4716789-lb_1--d767959e.png,0,gan
seed_939162-lb_1--2e6cfbd9.png,0,gan
ISIC_0028685,1,real
seed_4081854-lb_1--88c9ae56.png,0,gan
seed_717331-lb_1--92aa4a1b.png,0,gan
seed_8390544-lb_1--35600cca.png,0,gan
seed_4779719-lb_1--9ff7e3a3.png,0,gan
seed_9226370-lb_1--00223ef3.png,0,gan
seed_3969025-lb_1--0f5af80f.png,0,gan
ISIC_0028028,1,real
seed_7506344-lb_1--90d88f30.png,0,gan
seed_1971052-lb_1--fd754b57.png,0,gan
seed_6398064-lb_1--ddb128c9.png,0,gan
seed_1497248-lb_1--ee050f68.png,0,gan
seed_5003861-lb_1--ca85c9ff.png,0,gan
seed_9925329-lb_1--631ea388.png,0,gan
seed_5969434-lb_1--fb1369c3.png,0,gan
seed_9041215-lb_1--6debce4e.png,0,gan
seed_8068497-lb_1--caf315d8.png,0,gan
seed_6090009-lb_1--48373af6.png,0,gan
seed_6807024-lb_1--0ab1c044.png,0,gan
seed_293239-lb_1--17967a50.png,0,gan
seed_499943-lb_1--3b349667.png,0,gan
seed_2530722-lb_1--8b655764.png,0,gan
seed_5858228-lb_1--a1027c82.png,0,gan
seed_5121434-lb_1--774e7748.png,0,gan
seed_8975603-lb_1--5c51c03c.png,0,gan
ISIC_0033220,1,real
seed_8923714-lb_1--44c04ae9.png,0,gan
ISIC_0026934,1,real
seed_1090291-lb_1--962fe7b9.png,0,gan
seed_4918998-lb_1--09ea0399.png,0,gan
seed_1529137-lb_1--a167a257.png,0,gan
ISIC_0025791,1,real
seed_8333422-lb_1--ec925757.png,0,gan
seed_4244724-lb_1--f7c796f0.png,0,gan
ISIC_0026259,1,real
ISIC_0030251,1,real
seed_199206-lb_1--80c4e06a.png,0,gan
seed_1444089-lb_1--48562f13.png,0,gan
seed_2837854-lb_1--495f25ec.png,0,gan
seed_2948765-lb_1--e7d5d7f3.png,0,gan
seed_212011-lb_1--c0e4592a.png,0,gan
seed_8930799-lb_1--f4f1bca2.png,0,gan
seed_6829317-lb_1--bcc172cb.png,0,gan
seed_674893-lb_1--0c1657ba.png,0,gan
seed_6370863-lb_1--f25b61bf.png,0,gan
ISIC_0032200,1,real
seed_8110647-lb_1--c36aab78.png,0,gan
seed_9270309-lb_1--db5b381e.png,0,gan
seed_4151618-lb_1--8e0a6353.png,0,gan
seed_5176876-lb_1--448e684d.png,0,gan
ISIC_0026787,1,real
ISIC_0033891,1,real
seed_3272650-lb_1--b79a209a.png,0,gan
seed_3317909-lb_1--b0080e25.png,0,gan
seed_9962684-lb_1--42ab55ca.png,0,gan
ISIC_0029241,1,real
seed_976023-lb_1--823b686b.png,0,gan
seed_7296560-lb_1--189783ed.png,0,gan
seed_3483853-lb_1--82407666.png,0,gan
seed_1185949-lb_1--fdb3e378.png,0,gan
seed_910621-lb_1--19005779.png,0,gan
ISIC_0027607,1,real
ISIC_0026806,1,real
ISIC_0028650,1,real
seed_4725657-lb_1--9b1f9a03.png,0,gan
seed_6999224-lb_1--ea5ae3bd.png,0,gan
seed_2000604-lb_1--8f39c600.png,0,gan
seed_1418801-lb_1--dca1eb83.png,0,gan
seed_3809269-lb_1--0f92fcac.png,0,gan
seed_926750-lb_1--ab481000.png,0,gan
seed_6322151-lb_1--b5dae98a.png,0,gan
ISIC_0033929,1,real
seed_2484437-lb_1--2a6e4fd2.png,0,gan
ISIC_0026950,1,real
seed_1008768-lb_1--77669028.png,0,gan
ISIC_0029256,1,real
ISIC_0028065,1,real
ISIC_0028389,1,real
ISIC_0027324,1,real
seed_1678231-lb_1--0fa870f2.png,0,gan
ISIC_0030714,1,real
seed_715483-lb_1--23dfcf06.png,0,gan
seed_5908361-lb_1--525c1ae6.png,0,gan
seed_2464561-lb_1--6a42f189.png,0,gan
seed_4693061-lb_1--1a27b137.png,0,gan
seed_2776020-lb_1--60efbdea.png,0,gan
ISIC_0026904,1,real
seed_4605330-lb_1--9fceef4a.png,0,gan
seed_2365599-lb_1--caf16edb.png,0,gan
seed_2564107-lb_1--d40aaeb3.png,0,gan
seed_7100479-lb_1--17630583.png,0,gan
seed_2250653-lb_1--c3695f33.png,0,gan
seed_4006672-lb_1--e150dbd8.png,0,gan
seed_9396338-lb_1--d604fc33.png,0,gan
seed_336629-lb_1--6f1ce1b9.png,0,gan
seed_3266614-lb_1--b872df5d.png,0,gan
seed_6546255-lb_1--3442a850.png,0,gan
seed_4091679-lb_1--b126b0ac.png,0,gan
ISIC_0026225,1,real
seed_6258892-lb_1--308f8568.png,0,gan
seed_7319800-lb_1--0d2812bc.png,0,gan
ISIC_0033684,1,real
seed_3367871-lb_1--b0640b9f.png,0,gan
seed_8053446-lb_1--fac0c57e.png,0,gan
ISIC_0028548,1,real
seed_6438360-lb_1--2a514914.png,0,gan
seed_4977502-lb_1--96b1fed6.png,0,gan
seed_3590039-lb_1--9fee7702.png,0,gan
seed_7710457-lb_1--85d88a6d.png,0,gan
seed_5668836-lb_1--b26322e8.png,0,gan
seed_7383658-lb_1--fc8bec19.png,0,gan
ISIC_0025982,1,real
ISIC_0025647,1,real
seed_9931871-lb_1--13f7710b.png,0,gan
ISIC_0033624,1,real
seed_8001587-lb_1--c3762525.png,0,gan
seed_2002122-lb_1--9034a3af.png,0,gan
seed_110322-lb_1--449a6241.png,0,gan
seed_7122346-lb_1--fc12430c.png,0,gan
seed_2192491-lb_1--5b4eeac8.png,0,gan
seed_9017164-lb_1--8d27a8a5.png,0,gan
seed_7249293-lb_1--cf97a607.png,0,gan
seed_8061204-lb_1--eb23a7bb.png,0,gan
seed_7433804-lb_1--27e0f619.png,0,gan
seed_712653-lb_1--8c666007.png,0,gan
seed_3591461-lb_1--311cb8a4.png,0,gan
seed_4074175-lb_1--e2b5539e.png,0,gan
seed_9448049-lb_1--8e19ed95.png,0,gan
seed_8781909-lb_1--5d910451.png,0,gan
seed_2192271-lb_1--491cb993.png,0,gan
seed_4189393-lb_1--b280e4a7.png,0,gan
seed_2922646-lb_1--9543c504.png,0,gan
seed_9990226-lb_1--13244474.png,0,gan
seed_7443149-lb_1--f08a9977.png,0,gan
seed_5586761-lb_1--e81e9d3e.png,0,gan
seed_8084346-lb_1--c7cc74ef.png,0,gan
seed_548070-lb_1--40cc341a.png,0,gan
seed_6372247-lb_1--02e2b3b2.png,0,gan
seed_3345473-lb_1--1d22f646.png,0,gan
ISIC_0026267,1,real
ISIC_0026286,1,real
seed_417634-lb_1--5392810f.png,0,gan
ISIC_0029568,1,real
seed_4433178-lb_1--8f309c55.png,0,gan
seed_5638164-lb_1--e8f4fc3e.png,0,gan
ISIC_0027394,1,real
seed_9129626-lb_1--c4553f4b.png,0,gan
ISIC_0025714,1,real
seed_8577382-lb_1--ae700720.png,0,gan
ISIC_0027077,1,real
seed_5404781-lb_1--7636a7a0.png,0,gan
